attendance_pct,trend,consistency,attentiveness,total_present,total_sessions,total_absent,reason_medical,reason_family,reason_academic,reason_sports,reason_internship,outcome
64.6,declining,high,Low,31,48,17,0,3,0,0,0,failed
74.0,stable,high,High,37,50,13,0,0,1,0,0,passed
68.9,declining,medium,Low,31,45,14,7,1,2,0,0,failed
82.5,improving,high,High,33,40,7,0,1,3,1,0,passed
46.0,declining,low,Low,23,50,27,2,1,1,0,0,failed
85.4,stable,high,Medium,41,48,7,1,2,4,1,1,passed
84.4,improving,medium,High,38,45,7,2,1,1,1,0,passed
76.0,improving,high,Medium,38,50,12,1,1,1,1,0,passed
85.4,declining,medium,Medium,41,48,7,0,1,3,4,2,passed
86.7,improving,medium,Medium,39,45,6,2,0,0,2,0,passed
85.4,stable,high,High,41,48,7,3,0,3,3,1,passed
90.0,improving,low,Low,45,50,5,2,0,1,2,0,passed
80.0,stable,medium,Low,32,40,8,8,3,0,0,0,failed
78.0,improving,high,Low,39,50,11,0,2,5,0,2,passed
68.0,stable,low,Medium,34,50,16,2,0,0,0,0,failed
45.2,improving,medium,Low,19,42,23,0,1,1,0,0,failed
91.1,improving,high,Medium,41,45,4,1,1,3,2,0,passed
72.0,stable,high,High,36,50,14,2,2,0,2,2,passed
90.0,stable,medium,High,45,50,5,3,1,3,1,1,passed
75.0,improving,high,Medium,30,40,10,0,0,1,0,1,passed
91.7,stable,medium,High,44,48,4,2,0,5,1,1,passed
72.9,improving,high,High,35,48,13,2,0,2,5,2,passed
85.0,stable,medium,Medium,34,40,6,0,1,1,1,2,passed
79.2,improving,medium,Low,38,48,10,2,2,0,0,1,failed
74.0,improving,high,High,37,50,13,1,0,1,1,1,passed
72.5,improving,high,High,29,40,11,1,1,0,5,0,passed
67.5,improving,high,Medium,27,40,13,2,1,2,1,1,passed
80.0,improving,high,Medium,32,40,8,2,0,3,1,1,passed
86.0,stable,medium,High,43,50,7,0,0,3,3,0,passed
95.2,stable,high,High,40,42,2,0,0,2,3,0,passed
71.1,improving,high,High,32,45,13,0,0,2,2,0,passed
64.3,improving,high,Medium,27,42,15,1,2,1,2,0,passed
57.1,declining,medium,Medium,24,42,18,1,2,0,0,2,failed
64.0,stable,low,Low,32,50,18,8,0,2,0,0,failed
78.0,improving,medium,Low,39,50,11,0,2,0,2,3,passed
77.1,declining,low,Medium,37,48,11,0,2,1,1,0,failed
83.3,stable,low,High,40,48,8,1,0,3,1,0,passed
64.4,declining,low,Low,29,45,16,2,1,1,0,2,failed
84.0,improving,medium,Medium,42,50,8,0,0,0,3,4,passed
82.2,stable,high,High,37,45,8,0,1,1,0,0,passed
70.0,stable,high,High,28,40,12,1,1,2,3,4,passed
70.0,declining,low,Low,35,50,15,2,0,0,0,0,failed
50.0,improving,low,Low,21,42,21,2,0,0,0,0,failed
90.0,stable,medium,High,45,50,5,0,0,1,2,0,passed
74.0,declining,medium,Low,37,50,13,5,1,1,0,0,failed
82.2,declining,low,Medium,37,45,8,1,1,2,1,1,passed
75.6,improving,high,Low,34,45,11,0,0,2,1,0,passed
82.5,improving,medium,High,33,40,7,0,1,0,3,1,passed
87.5,stable,low,Medium,35,40,5,0,1,0,2,4,passed
78.0,declining,medium,Medium,39,50,11,1,0,2,2,0,passed
82.0,declining,high,Medium,41,50,9,0,0,0,1,0,passed
89.6,stable,low,Low,43,48,5,1,2,2,0,0,passed
81.0,stable,medium,High,34,42,8,0,1,0,5,4,passed
70.0,improving,medium,Medium,35,50,15,1,2,1,2,0,passed
64.0,stable,medium,High,32,50,18,0,0,0,0,0,failed
76.0,improving,high,Low,38,50,12,1,1,2,2,2,passed
66.7,improving,low,Low,32,48,16,1,1,0,0,0,failed
84.0,improving,high,Low,42,50,8,1,1,3,1,2,passed
50.0,stable,medium,Low,25,50,25,3,3,1,0,0,failed
70.0,stable,medium,High,28,40,12,2,0,1,3,1,passed
82.5,declining,high,High,33,40,7,2,0,0,0,3,passed
81.2,stable,medium,Medium,39,48,9,5,5,0,0,1,failed
84.0,improving,medium,Low,42,50,8,0,1,0,2,1,passed
58.0,stable,low,Medium,29,50,21,0,1,0,0,0,failed
84.0,improving,high,High,42,50,8,1,2,2,1,4,passed
64.6,improving,high,Low,31,48,17,2,1,1,0,1,failed
85.0,improving,high,High,34,40,6,1,1,5,1,4,passed
72.0,declining,medium,High,36,50,14,7,2,0,2,1,failed
71.1,declining,low,Medium,32,45,13,2,5,0,0,0,failed
77.5,improving,high,Medium,31,40,9,2,0,2,3,1,passed
86.7,stable,high,High,39,45,6,0,0,2,1,1,passed
72.5,stable,medium,Medium,29,40,11,0,1,0,0,2,passed
60.0,stable,low,High,27,45,18,2,1,0,0,0,failed
80.0,improving,medium,Low,36,45,9,0,1,0,3,0,passed
75.6,declining,medium,Medium,34,45,11,5,1,0,0,0,failed
77.8,declining,medium,Medium,35,45,10,2,2,2,0,0,failed
97.8,improving,high,High,44,45,1,0,2,4,3,1,passed
83.3,stable,low,Medium,40,48,8,2,0,0,1,0,passed
83.3,declining,high,Medium,35,42,7,0,0,0,4,2,passed
47.6,declining,medium,Low,20,42,22,0,0,0,1,0,failed
90.0,improving,low,Medium,36,40,4,1,2,2,1,2,passed
71.1,improving,medium,High,32,45,13,1,1,0,4,0,passed
86.0,declining,medium,High,43,50,7,1,2,3,2,0,passed
70.8,improving,high,High,34,48,14,2,1,0,1,0,passed
58.0,stable,low,High,29,50,21,5,0,1,1,0,failed
75.6,declining,high,Medium,34,45,11,0,1,1,1,1,passed
70.0,stable,low,Medium,28,40,12,4,1,0,0,0,failed
73.3,stable,medium,Low,33,45,12,4,2,1,0,0,failed
80.0,improving,medium,Low,32,40,8,1,0,1,1,0,passed
91.7,stable,medium,High,44,48,4,0,2,4,1,0,passed
68.9,declining,low,Low,31,45,14,0,0,0,1,1,failed
90.0,stable,high,Medium,36,40,4,1,0,1,2,0,passed
95.0,stable,low,High,38,40,2,2,0,4,2,4,passed
62.5,stable,low,Low,25,40,15,6,1,2,0,1,failed
67.5,improving,high,High,27,40,13,0,2,4,2,2,passed
82.2,declining,high,High,37,45,8,0,1,0,1,0,passed
81.0,stable,low,Medium,34,42,8,1,0,0,0,2,passed
87.5,declining,high,Medium,35,40,5,0,0,2,0,3,passed
70.0,improving,medium,Medium,28,40,12,1,1,2,3,0,passed
86.0,stable,high,High,43,50,7,1,2,2,0,1,passed
88.9,improving,high,Medium,40,45,5,0,0,0,0,4,passed
72.0,improving,high,Low,36,50,14,6,4,0,0,0,failed
91.7,improving,medium,High,44,48,4,1,0,2,3,4,passed
71.4,stable,low,Low,30,42,12,2,0,0,0,0,failed
92.9,improving,high,High,39,42,3,0,0,5,1,0,passed
87.5,improving,medium,High,42,48,6,0,0,4,3,0,passed
95.2,declining,high,Medium,40,42,2,0,0,3,1,2,passed
86.7,stable,low,Medium,39,45,6,1,0,0,4,0,passed
64.6,improving,high,Medium,31,48,17,0,1,4,4,1,passed
98.0,declining,high,Medium,49,50,1,2,0,2,2,1,passed
85.7,improving,medium,High,36,42,6,2,0,0,2,1,passed
91.1,improving,high,High,41,45,4,0,1,0,1,0,passed
62.2,stable,low,High,28,45,17,1,2,0,0,0,failed
61.9,stable,high,High,26,42,16,1,0,0,1,0,passed
85.0,stable,high,High,34,40,6,1,0,2,1,2,passed
54.2,declining,medium,Low,26,48,22,4,3,1,2,0,failed
86.0,improving,low,Medium,43,50,7,0,2,1,0,1,passed
71.1,stable,high,High,32,45,13,2,0,1,0,0,failed
88.0,improving,high,Low,44,50,6,3,0,4,0,0,passed
82.2,improving,high,High,37,45,8,1,1,0,1,4,passed
84.4,stable,medium,Medium,38,45,7,1,1,0,2,4,passed
62.2,declining,medium,Medium,28,45,17,4,1,1,0,1,failed
95.2,improving,low,Medium,40,42,2,1,0,3,1,1,passed
95.0,stable,high,Medium,38,40,2,0,1,1,1,3,passed
75.0,improving,medium,Medium,30,40,10,1,2,0,2,2,passed
87.5,improving,medium,Medium,35,40,5,0,1,1,0,2,passed
62.2,declining,high,High,28,45,17,1,0,0,0,3,passed
80.0,improving,high,High,32,40,8,2,2,1,5,1,passed
77.5,stable,low,High,31,40,9,1,0,1,1,0,passed
60.0,improving,low,Medium,27,45,18,1,1,1,1,0,failed
75.6,stable,high,High,34,45,11,0,0,0,4,0,passed
80.0,stable,low,Low,36,45,9,6,2,2,0,0,failed
69.0,improving,high,Medium,29,42,13,0,1,4,2,2,passed
77.5,declining,high,High,31,40,9,0,1,0,2,2,passed
93.3,stable,medium,Medium,42,45,3,1,2,0,1,4,passed
88.9,improving,high,High,40,45,5,2,2,0,2,0,passed
73.3,declining,medium,Medium,33,45,12,4,1,0,1,1,failed
76.0,improving,medium,High,38,50,12,1,1,5,3,3,passed
84.4,improving,high,High,38,45,7,1,2,1,4,1,passed
88.0,stable,high,Low,44,50,6,0,0,0,0,2,passed
85.0,declining,low,Low,34,40,6,0,0,1,3,1,passed
86.7,improving,high,High,39,45,6,1,0,4,0,3,passed
71.1,improving,medium,Low,32,45,13,0,0,4,1,4,passed
91.1,stable,high,Medium,41,45,4,2,1,1,1,0,passed
97.5,improving,medium,High,39,40,1,0,2,4,0,1,passed
85.0,stable,high,High,34,40,6,2,0,2,1,3,passed
78.0,improving,high,Low,39,50,11,0,2,1,4,2,passed
57.8,declining,low,Low,26,45,19,0,0,2,1,1,failed
80.0,improving,high,Medium,32,40,8,0,2,1,0,1,passed
55.6,stable,high,Medium,25,45,20,0,3,2,0,0,failed
81.0,declining,high,Low,34,42,8,0,1,2,0,0,passed
59.5,declining,low,High,25,42,17,1,1,1,0,0,failed
90.0,declining,medium,High,45,50,5,2,1,1,2,0,passed
61.9,stable,medium,Low,26,42,16,2,0,1,0,0,failed
80.0,stable,medium,High,40,50,10,0,0,1,2,2,passed
83.3,improving,high,Medium,35,42,7,2,0,2,4,1,passed
57.1,improving,high,High,24,42,18,2,1,3,0,0,passed
75.0,improving,high,High,36,48,12,2,1,1,2,1,passed
97.9,improving,medium,High,47,48,1,2,0,0,1,0,passed
60.0,declining,low,Low,24,40,16,5,2,0,2,0,failed
68.8,declining,medium,Low,33,48,15,1,3,1,0,0,failed
80.0,improving,low,High,36,45,9,1,0,4,4,1,passed
75.0,improving,low,High,30,40,10,3,2,2,3,2,passed
95.2,declining,high,High,40,42,2,2,1,5,0,2,passed
87.5,declining,medium,High,42,48,6,2,0,2,2,0,passed
83.3,stable,high,Medium,40,48,8,0,1,1,0,1,passed
54.8,improving,high,High,23,42,19,1,0,3,2,0,passed
79.2,improving,high,High,38,48,10,1,0,0,0,0,passed
87.5,improving,medium,High,35,40,5,1,2,1,1,0,passed
80.0,improving,low,Medium,32,40,8,1,0,3,0,2,passed
69.0,improving,low,High,29,42,13,0,2,1,0,2,passed
78.6,declining,medium,Medium,33,42,9,1,2,1,2,1,passed
79.2,declining,high,High,38,48,10,1,2,0,3,4,passed
66.7,improving,high,High,28,42,14,3,1,4,2,1,passed
88.0,improving,medium,High,44,50,6,1,1,4,2,0,passed
68.0,stable,high,High,34,50,16,3,1,3,2,0,passed
77.5,improving,medium,High,31,40,9,0,0,3,1,0,passed
68.8,stable,high,High,33,48,15,0,4,0,0,0,failed
91.7,improving,high,High,44,48,4,0,2,1,0,3,passed
68.8,improving,low,High,33,48,15,2,1,0,0,0,failed
64.6,declining,low,Low,31,48,17,2,0,0,1,0,failed
72.9,improving,high,High,35,48,13,1,0,1,0,0,passed
68.8,stable,medium,High,33,48,15,1,1,0,1,1,failed
93.3,improving,high,Medium,42,45,3,0,2,3,4,3,passed
68.9,stable,medium,High,31,45,14,5,2,0,2,0,failed
96.0,stable,low,High,48,50,2,1,0,3,4,0,passed
76.0,stable,medium,High,38,50,12,0,1,1,0,2,passed
88.1,declining,low,Low,37,42,5,2,3,0,0,0,failed
70.0,declining,medium,High,28,40,12,1,3,1,0,0,failed
92.0,improving,medium,High,46,50,4,0,1,0,3,0,passed
82.5,improving,high,High,33,40,7,2,0,2,2,2,passed
69.0,declining,medium,Low,29,42,13,1,3,0,0,0,failed
94.0,improving,high,Medium,47,50,3,1,0,4,5,0,passed
72.0,declining,medium,Medium,36,50,14,1,1,0,0,0,failed
76.2,declining,high,Medium,32,42,10,5,0,0,2,0,failed
85.0,improving,high,High,34,40,6,1,1,0,0,1,passed
72.0,stable,high,High,36,50,14,2,1,0,2,3,passed
55.6,declining,low,Medium,25,45,20,4,4,0,1,0,failed
95.8,improving,high,High,46,48,2,0,0,1,0,1,passed
68.9,stable,low,Low,31,45,14,1,1,0,1,0,failed
61.9,improving,low,High,26,42,16,0,0,0,1,4,passed
85.7,improving,high,High,36,42,6,1,0,2,0,3,passed
79.2,stable,high,High,38,48,10,2,1,1,3,0,passed
77.5,stable,high,High,31,40,9,2,2,2,2,0,passed
83.3,improving,high,Low,40,48,8,2,0,1,1,3,passed
92.0,stable,low,High,46,50,4,1,0,0,3,0,passed
84.4,stable,medium,Low,38,45,7,0,2,1,3,0,passed
56.2,declining,medium,Medium,27,48,21,0,3,0,1,1,failed
52.5,declining,medium,Low,21,40,19,2,3,0,0,0,failed
90.0,improving,high,Low,36,40,4,2,0,1,2,2,passed
98.0,improving,high,High,49,50,1,0,1,4,3,0,passed
85.0,improving,medium,Low,34,40,6,0,1,5,2,2,passed
76.0,declining,low,High,38,50,12,2,2,1,2,2,passed
81.0,improving,medium,Medium,34,42,8,0,0,2,3,3,passed
77.5,improving,high,High,31,40,9,0,0,0,1,0,passed
82.2,stable,medium,Medium,37,45,8,3,2,0,1,0,failed
85.7,stable,high,High,36,42,6,0,2,0,1,3,passed
80.0,stable,high,Medium,32,40,8,2,0,1,3,0,passed
75.6,improving,medium,High,34,45,11,1,2,0,2,1,passed
90.0,improving,high,Medium,45,50,5,0,2,2,1,0,passed
72.9,declining,low,Medium,35,48,13,2,0,0,1,0,failed
75.0,stable,high,High,30,40,10,1,0,2,0,0,passed
87.5,improving,high,Medium,42,48,6,1,0,1,1,2,passed
90.5,improving,medium,High,38,42,4,2,0,1,0,2,passed
90.0,stable,medium,High,45,50,5,0,0,2,3,0,passed
84.4,declining,high,Medium,38,45,7,0,1,0,0,3,passed
85.7,improving,high,Medium,36,42,6,2,1,1,4,1,passed
74.0,improving,medium,High,37,50,13,1,1,0,2,1,passed
64.4,declining,low,High,29,45,16,2,2,0,2,0,failed
54.0,declining,low,Low,27,50,23,7,2,0,1,0,failed
87.5,stable,high,Medium,35,40,5,0,0,4,3,0,passed
81.0,improving,high,High,34,42,8,1,1,3,0,2,passed
72.0,declining,low,Low,36,50,14,0,3,0,1,0,failed
84.0,stable,medium,High,42,50,8,1,1,0,3,0,passed
66.7,stable,high,Low,28,42,14,1,0,0,2,0,failed
92.0,stable,high,High,46,50,4,0,0,3,1,3,passed
42.9,improving,medium,Low,18,42,24,6,3,0,1,0,failed
72.0,improving,high,High,36,50,14,2,1,4,4,0,passed
96.0,stable,low,Low,48,50,2,2,3,2,0,0,failed
67.5,declining,low,Low,27,40,13,6,3,1,0,0,failed
95.2,improving,medium,High,40,42,2,0,0,1,0,3,passed
60.0,improving,medium,High,30,50,20,0,2,1,2,3,passed
70.0,stable,medium,Medium,35,50,15,0,2,1,1,2,passed
72.9,declining,low,Medium,35,48,13,3,4,0,1,1,failed
88.1,stable,high,High,37,42,5,1,0,1,0,4,passed
75.0,stable,high,Medium,36,48,12,0,0,2,0,2,passed
59.5,stable,low,Low,25,42,17,2,3,0,0,1,failed
92.9,improving,medium,Medium,39,42,3,2,0,1,2,2,passed
85.0,stable,low,Medium,34,40,6,1,0,2,0,1,passed
83.3,declining,high,High,40,48,8,1,0,2,2,1,passed
82.2,improving,medium,Medium,37,45,8,2,0,0,5,0,passed
90.0,stable,high,High,45,50,5,0,0,4,1,1,passed
48.0,declining,low,Medium,24,50,26,3,0,0,0,0,failed
84.0,declining,high,High,42,50,8,2,2,0,0,1,passed
91.7,stable,low,High,44,48,4,1,0,3,1,0,passed
76.2,declining,medium,High,32,42,10,1,0,1,2,1,passed
71.4,declining,medium,Low,30,42,12,8,2,0,1,0,failed
79.2,declining,high,High,38,48,10,1,1,3,1,1,passed
60.0,stable,low,Low,30,50,20,2,0,0,0,1,failed
68.0,declining,medium,Low,34,50,16,0,3,2,2,0,failed
96.0,improving,medium,High,48,50,2,0,1,1,4,0,passed
81.0,improving,low,High,34,42,8,1,2,1,1,0,passed
62.5,declining,low,Medium,30,48,18,1,0,0,1,0,failed
66.7,stable,low,Medium,30,45,15,2,0,2,0,0,failed
86.7,declining,medium,High,39,45,6,2,0,1,4,0,passed
91.1,improving,medium,Medium,41,45,4,0,0,3,0,0,passed
75.0,improving,high,High,30,40,10,0,0,2,4,1,passed
82.5,improving,medium,Low,33,40,7,2,0,2,1,3,passed
85.7,improving,high,Medium,36,42,6,1,1,0,1,0,passed
93.3,improving,medium,High,42,45,3,1,0,2,1,1,passed
82.0,improving,high,High,41,50,9,0,0,3,0,0,passed
97.5,improving,high,High,39,40,1,0,0,3,1,3,passed
88.9,stable,high,High,40,45,5,0,1,2,0,0,passed
60.0,improving,high,High,30,50,20,0,0,0,0,2,passed
83.3,stable,low,Low,35,42,7,1,0,1,2,0,passed
90.0,stable,high,High,45,50,5,0,1,1,1,0,passed
83.3,stable,high,Medium,35,42,7,0,0,0,3,2,passed
77.5,stable,high,High,31,40,9,1,0,3,1,2,passed
52.1,declining,low,Medium,25,48,23,6,5,0,1,0,failed
76.0,declining,medium,High,38,50,12,3,0,2,2,2,passed
75.0,stable,medium,High,30,40,10,1,1,0,4,2,passed
81.0,improving,medium,Medium,34,42,8,0,0,2,1,2,passed
78.0,improving,medium,Low,39,50,11,1,1,2,1,1,passed
86.7,declining,high,Medium,39,45,6,0,1,4,3,2,passed
55.0,improving,medium,High,22,40,18,1,1,2,2,0,passed
97.6,stable,medium,Low,41,42,1,1,0,0,1,1,passed
88.9,improving,high,High,40,45,5,0,2,1,3,0,passed
95.8,stable,medium,Medium,46,48,2,0,1,0,0,0,failed
75.0,stable,low,Medium,30,40,10,0,2,1,0,2,passed
88.0,declining,medium,Medium,44,50,6,2,1,1,2,1,passed
83.3,improving,high,High,35,42,7,2,0,2,2,2,passed
76.0,stable,high,Medium,38,50,12,2,1,0,2,0,passed
70.0,improving,high,High,28,40,12,3,1,3,6,0,passed
73.3,improving,high,High,33,45,12,1,0,1,0,1,passed
80.0,improving,low,High,32,40,8,1,0,0,1,2,passed
72.0,improving,high,Medium,36,50,14,0,1,1,2,1,passed
97.6,stable,high,High,41,42,1,0,0,3,3,4,passed
85.0,declining,high,High,34,40,6,1,2,3,0,1,passed
47.6,declining,medium,Medium,20,42,22,1,4,0,1,1,failed
73.8,improving,high,High,31,42,11,1,2,2,1,0,passed
78.6,stable,high,High,33,42,9,0,1,1,0,0,passed
77.1,declining,low,Low,37,48,11,5,2,0,1,0,failed
77.8,improving,low,Low,35,45,10,0,5,0,0,0,failed
62.5,stable,medium,High,30,48,18,0,0,0,3,0,passed
84.4,declining,medium,Medium,38,45,7,0,0,0,3,3,passed
84.0,stable,high,High,42,50,8,1,1,0,2,1,passed
68.9,declining,medium,Low,31,45,14,1,3,0,1,0,failed
85.4,improving,high,Medium,41,48,7,1,1,2,0,0,passed
77.1,stable,medium,Medium,37,48,11,0,0,0,2,1,passed
87.5,improving,high,Medium,35,40,5,0,1,2,0,0,passed
58.3,declining,high,Low,28,48,20,3,2,0,2,0,failed
95.8,stable,medium,Medium,46,48,2,1,0,0,0,0,failed
64.3,stable,high,High,27,42,15,3,1,0,0,0,failed
72.5,improving,high,Medium,29,40,11,0,1,0,1,2,passed
68.0,improving,low,Low,34,50,16,0,2,0,1,0,failed
68.8,stable,high,High,33,48,15,0,0,4,1,0,passed
82.2,improving,high,High,37,45,8,0,0,3,2,0,passed
45.8,declining,low,High,22,48,26,1,1,0,0,0,failed
90.0,improving,medium,High,36,40,4,2,0,0,2,2,passed
85.7,stable,medium,High,36,42,6,0,0,1,0,0,passed
66.7,improving,high,Medium,32,48,16,1,3,2,0,0,failed
64.0,improving,medium,High,32,50,18,0,0,0,3,1,passed
82.0,improving,high,High,41,50,9,0,1,0,4,2,passed
86.7,stable,low,High,39,45,6,0,1,4,1,0,passed
73.3,improving,low,High,33,45,12,0,0,3,4,0,passed
71.1,improving,high,High,32,45,13,0,1,3,0,2,passed
55.0,stable,low,Low,22,40,18,2,0,0,0,0,failed
91.1,improving,high,High,41,45,4,1,1,1,2,4,passed
81.0,improving,medium,Medium,34,42,8,0,0,0,0,2,passed
84.4,declining,low,Medium,38,45,7,4,1,0,1,0,failed
66.0,declining,medium,Low,33,50,17,4,4,0,0,0,failed
70.8,declining,low,Medium,34,48,14,2,0,1,0,0,failed
92.5,stable,high,Medium,37,40,3,5,0,0,0,0,failed
90.0,stable,low,High,45,50,5,1,1,0,0,0,passed
66.7,improving,high,High,28,42,14,3,1,0,2,1,passed
77.8,improving,medium,High,35,45,10,0,0,2,1,3,passed
73.8,declining,low,Low,31,42,11,4,0,0,0,0,failed
82.2,declining,high,Medium,37,45,8,1,0,1,3,1,passed
72.5,improving,medium,High,29,40,11,3,2,1,3,1,passed
61.9,improving,medium,High,26,42,16,1,1,3,3,2,passed
94.0,improving,medium,High,47,50,3,1,1,0,4,3,passed
77.1,improving,high,High,37,48,11,2,1,5,2,2,passed
92.9,declining,medium,High,39,42,3,1,2,1,0,0,passed
66.0,stable,medium,Low,33,50,17,4,4,0,2,0,failed
91.1,stable,high,High,41,45,4,2,0,1,1,1,passed
82.0,improving,medium,Medium,41,50,9,2,0,0,0,0,passed
76.2,stable,high,High,32,42,10,2,2,2,0,0,passed
85.7,stable,medium,Low,36,42,6,0,2,0,2,1,passed
72.5,improving,medium,High,29,40,11,2,0,5,1,0,passed
92.9,improving,high,High,39,42,3,1,2,2,0,2,passed
85.0,stable,low,Medium,34,40,6,2,2,1,0,2,passed
72.9,improving,high,High,35,48,13,0,0,0,0,1,passed
80.0,improving,high,Medium,40,50,10,2,0,4,2,4,passed
81.2,improving,high,Low,39,48,9,2,1,0,3,1,passed
77.8,stable,low,Low,35,45,10,2,0,2,5,0,passed
95.2,declining,high,High,40,42,2,1,0,4,0,0,passed
92.9,improving,medium,Medium,39,42,3,0,1,1,0,0,passed
94.0,stable,low,Low,47,50,3,1,1,0,1,1,failed
83.3,declining,medium,Medium,35,42,7,1,0,1,2,1,passed
78.6,stable,medium,Low,33,42,9,5,3,0,0,0,failed
60.0,stable,low,High,27,45,18,1,0,0,0,0,failed
70.0,stable,low,Low,28,40,12,7,0,0,0,0,failed
82.5,improving,medium,High,33,40,7,0,0,0,3,1,passed
86.7,stable,high,High,39,45,6,2,0,1,2,2,passed
75.0,improving,medium,High,30,40,10,0,1,1,1,0,passed
87.5,improving,medium,Medium,42,48,6,1,2,3,3,1,passed
77.8,improving,high,High,35,45,10,0,1,1,0,0,passed
77.5,improving,low,High,31,40,9,1,0,3,0,3,passed
67.5,improving,low,Low,27,40,13,2,3,0,0,0,failed
92.0,declining,high,High,46,50,4,1,0,1,3,1,passed
77.5,stable,high,High,31,40,9,0,2,3,0,2,passed
81.2,stable,high,Medium,39,48,9,1,1,0,2,1,passed
66.7,declining,low,Low,28,42,14,4,0,0,0,0,failed
79.2,improving,high,High,38,48,10,0,0,1,0,1,passed
62.5,stable,high,High,25,40,15,2,1,0,0,1,passed
90.0,improving,low,High,36,40,4,0,1,0,2,4,passed
88.1,improving,medium,Medium,37,42,5,1,0,1,3,1,passed
70.8,improving,high,High,34,48,14,2,2,0,3,1,passed
68.0,improving,medium,High,34,50,16,0,1,2,1,2,passed
97.6,improving,high,Low,41,42,1,0,1,3,1,2,passed
75.0,stable,high,Medium,36,48,12,0,1,2,1,1,passed
85.0,stable,low,High,34,40,6,1,2,0,1,2,passed
89.6,stable,high,High,43,48,5,2,0,1,5,4,passed
72.0,declining,medium,Low,36,50,14,4,2,0,1,0,failed
93.3,improving,high,High,42,45,3,0,0,1,3,0,passed
70.0,improving,high,High,28,40,12,0,0,1,3,1,passed
77.1,improving,medium,High,37,48,11,2,1,1,1,0,passed
82.5,stable,low,High,33,40,7,1,0,5,1,2,passed
74.0,declining,high,High,37,50,13,1,0,3,4,0,passed
95.0,declining,high,High,38,40,2,0,0,2,2,0,passed
62.2,stable,high,Medium,28,45,17,2,0,0,1,0,passed
77.8,stable,low,Medium,35,45,10,1,0,0,1,1,passed
95.0,improving,medium,High,38,40,2,0,0,2,2,1,passed
71.4,stable,high,High,30,42,12,0,0,0,0,1,passed
87.5,stable,high,High,35,40,5,0,0,2,1,2,passed
58.3,stable,medium,Low,28,48,20,3,3,2,0,0,failed
64.3,improving,high,High,27,42,15,1,0,3,0,0,passed
84.0,declining,low,Medium,42,50,8,3,0,0,1,1,failed
68.0,stable,high,Medium,34,50,16,1,2,5,2,0,passed
80.0,stable,medium,High,32,40,8,0,0,1,3,2,passed
77.1,improving,high,Low,37,48,11,1,0,4,3,0,passed
95.6,improving,high,Medium,43,45,2,1,1,1,0,3,passed
78.0,improving,medium,High,39,50,11,0,0,0,1,2,passed
79.2,improving,medium,High,38,48,10,1,0,0,0,1,passed
86.7,improving,medium,Low,39,45,6,0,0,3,0,3,passed
75.6,improving,medium,Medium,34,45,11,0,0,4,3,4,passed
85.0,declining,high,High,34,40,6,0,0,4,2,1,passed
95.0,declining,medium,Low,38,40,2,2,0,0,0,0,failed
68.8,declining,low,Low,33,48,15,0,4,0,1,1,failed
82.5,stable,medium,Medium,33,40,7,5,0,2,0,0,failed
70.0,stable,low,Low,28,40,12,2,0,0,0,2,failed
50.0,declining,medium,High,20,40,20,5,2,0,2,0,failed
74.0,stable,high,Medium,37,50,13,3,0,1,0,3,passed
92.5,improving,medium,High,37,40,3,2,1,0,3,2,passed
83.3,improving,high,Medium,40,48,8,1,0,5,2,0,passed
60.0,declining,high,Low,30,50,20,2,3,0,0,0,failed
89.6,improving,high,High,43,48,5,1,0,4,3,1,passed
92.9,improving,high,Medium,39,42,3,0,1,2,1,1,passed
75.0,improving,high,Low,30,40,10,0,0,4,0,0,passed
59.5,declining,low,Medium,25,42,17,7,0,1,0,0,failed
73.3,declining,high,Low,33,45,12,3,3,1,0,1,failed
88.0,stable,high,High,44,50,6,2,0,0,1,0,passed
72.0,improving,medium,Low,36,50,14,0,0,4,1,0,passed
85.7,improving,medium,Medium,36,42,6,0,2,2,2,4,passed
90.0,declining,high,High,36,40,4,1,1,0,0,0,passed
85.7,declining,medium,Medium,36,42,6,2,0,5,0,0,passed
83.3,stable,high,High,40,48,8,1,0,1,5,1,passed
88.1,stable,low,High,37,42,5,0,2,2,4,1,passed
62.5,stable,high,Low,30,48,18,3,3,2,0,0,failed
57.5,stable,high,High,23,40,17,2,0,1,1,2,passed
76.2,stable,high,Medium,32,42,10,0,2,1,2,1,passed
80.0,declining,high,Medium,36,45,9,2,0,0,2,2,passed
82.2,stable,medium,High,37,45,8,0,0,4,0,2,passed
87.5,improving,medium,Medium,42,48,6,0,0,0,0,1,passed
78.0,improving,low,Low,39,50,11,0,0,1,1,1,passed
60.0,stable,low,Low,24,40,16,4,1,1,0,2,failed
86.7,stable,high,High,39,45,6,0,1,0,1,2,passed
71.4,stable,medium,High,30,42,12,0,0,3,1,1,passed
73.8,improving,medium,High,31,42,11,0,1,4,1,2,passed
57.8,declining,medium,Low,26,45,19,5,2,0,2,1,failed
69.0,improving,low,Medium,29,42,13,0,0,1,0,0,failed
68.8,improving,high,Medium,33,48,15,2,1,0,2,1,passed
61.9,stable,high,High,26,42,16,0,0,2,0,0,passed
64.4,declining,medium,Medium,29,45,16,5,0,2,0,1,failed
87.5,improving,medium,High,35,40,5,1,0,0,0,2,passed
81.2,improving,low,Medium,39,48,9,0,0,1,4,0,passed
72.0,improving,high,High,36,50,14,1,0,0,0,0,passed
